ticker,name,price,change_pct,market
330590,롯데리츠,3620.0,-0.14,KOSPI
465580,ACE 미국빅테크TOP7 Plus,25215.0,1.37,KOSPI
003570,SNT다이내믹스,31350.0,1.13,KOSPI
451540,TIGER 종합채권(AA-이상)액티브,53035.0,0.42,KOSPI
446720,SOL 미국배당다우존스,14040.0,0.32,KOSPI
469150,ACE AI반도체TOP3+,54300.0,3.91,KOSPI
479520,RISE KOFR금리액티브(합성),106145.0,0.01,KOSPI
356540,ACE 종합채권(AA-이상)액티브,101620.0,0.41,KOSPI
469830,SOL 초단기채권액티브,54230.0,0.01,KOSPI
003240,태광산업,904000.0,2.73,KOSPI
009450,경동나비엔,68600.0,0.15,KOSPI
449180,KODEX 미국S&P500(H),17330.0,1.91,KOSPI
003090,대웅,17070.0,-0.23,KOSPI
760009,키움 CD금리투자 ETN,107085.0,0.0,KOSPI
0117V0,TIGER 코리아AI전력기기TOP3플러스,18870.0,9.14,KOSPI
0117L0,KODEX 26-12 금융채(AA-이상)액티브,10135.0,0.0,KOSPI
032350,롯데관광개발,12280.0,0.57,KOSPI
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,101865.0,0.02,KOSPI
494300,KODEX 미국나스닥100데일리커버드콜OTM,9500.0,0.16,KOSPI
006120,SK디스커버리,54800.0,4.78,KOSPI
402970,ACE 미국배당다우존스,15585.0,0.35,KOSPI
003530,한화투자증권,4420.0,2.08,KOSPI
495050,RISE 코리아밸류업,31790.0,3.58,KOSPI
237350,KODEX 코스피100,83765.0,4.48,KOSPI
051915,LG화학우,122000.0,0.83,KOSPI
280360,롯데웰푸드,101800.0,-1.45,KOSPI
438100,ACE 미국나스닥100미국채혼합50액티브,15765.0,0.99,KOSPI
192400,쿠쿠홀딩스,26250.0,-2.05,KOSPI
185750,종근당,67500.0,0.0,KOSPI
005300,롯데칠성,100300.0,-2.34,KOSPI
451800,한화리츠,5130.0,1.79,KOSPI
0195R0,TIGER 삼성전자단일종목레버리지,10150.0,5.02,KOSPI
009240,한샘,38650.0,-0.9,KOSPI
034230,파라다이스,9780.0,-2.3,KOSPI
295040,SOL 200TR,39105.0,3.88,KOSPI
455850,SOL AI반도체소부장,21570.0,4.13,KOSPI
071055,한국금융지주우,152000.0,1.47,KOSPI
195870,해성디에스,52200.0,5.03,KOSPI
003470,유안타증권,4590.0,2.8,KOSPI
499790,GS피앤엘,44500.0,10.56,KOSPI
494310,KODEX 반도체레버리지,69510.0,7.93,KOSPI
100090,SK오션플랜트,13820.0,4.78,KOSPI
079160,CJ CGV,5140.0,-0.96,KOSPI
030190,NICE평가정보,14360.0,-0.28,KOSPI
001820,삼화콘덴서,80800.0,3.99,KOSPI
153130,KODEX 단기채권,113340.0,0.03,KOSPI
490590,RISE 미국AI밸류체인데일리고정커버드콜,15110.0,3.88,KOSPI
114800,KODEX 인버스,1073.0,-4.11,KOSPI
371460,TIGER 차이나전기차SOLACTIVE,11115.0,0.68,KOSPI
305540,TIGER 2차전지테마,16525.0,1.13,KOSPI
530031,삼성 레버리지 WTI원유 선물 ETN,1993.0,-13.91,KOSPI
476550,TIGER 미국30년국채커버드콜액티브(H),6895.0,1.25,KOSPI
